وان
جوگ
تُوں
تھان
ڈاک
جین
گاؤن
کُھوہ
پینگ
تا
کاج
ساون
تاں
چاہ
پین
چاہ
پین
چاہ
تاں
ساون
کاج
ساون
تاں
چاہ
پین
پِیڑ
تاؤن
باں
ڈانگ
داؤن
کھان
دین
جوں
چھاں
سین
تان
کُوک
بو
پان
کون
پہنچ
سو
سُود
سوں
خون
سینک
رُوں
جی
بین
بانک
چھان
طوق
جُوں
کھُونج
گال
لُون
تھاں
خانچہ
دا
پوہ
سیک
تھا
دام
ڈیڑھ
خواب
کُونج
بیع
دو
وانگ
ساہ
رُوپ
گاں
جونک
بات
کاں
جُون
